id,id_docente,Column1,nu_ano,nu_ano_censo,nu_ano_conclusao_1,nu_ano_conclusao_3,nu_idade,in_profissionalizante,in_regular,in_superdotacao,in_surdez,in_surdocegueira,nome_escola_id,in_pos_nenhum,in_mestrado,nu_mes,tp_ensino_medio,tp_escolaridade,tp_etapa_ensino,tp_local_resid_diferenciada,tp_situacao_curso_1,tp_situacao_curso_2,tp_situacao_curso_3,tp_tipo_contratacao,tp_tipo_docente,tp_tipo_ies_1,tp_tipo_ies_2,tp_tipo_ies_3,in_especializacao,in_especial_exclusiva,in_eja,in_doutorado,in_disc_sociologia,in_disc_quimica,in_disc_profissionalizante,in_disc_port_segunda_lingua,in_disc_pedagogicas,in_disc_outras,in_disc_matematica,in_disc_lingua_portuguesa,in_disc_lingua_outra,in_disc_lingua_indigena,in_disc_lingua_frances,in_disc_lingua_espanhol,in_disc_libras,in_disc_informatica_computacao,in_disc_historia,in_disc_geografia,in_disc_filosofia,in_disc_estudos_sociais,in_disc_estagio_supervisionado,in_disc_est_sociais_sociologia,in_disc_lingua_ingles,in_disc_fisica,in_disc_ensino_religioso,in_disc_educacao_fisica,in_def_auditiva,in_def_fisica,in_def_intelectual,in_def_multipla,in_disc_artes,in_disc_biologia,in_disc_ciencias,in_cegueira,in_baixa_visao,in_autismo,co_area_compl_pedagogica_1,co_area_compl_pedagogica_2,co_area_compl_pedagogica_3,co_area_curso_1,co_area_curso_2,co_area_curso_3,co_curso_1,co_curso_2,co_curso_3,co_curso_educ_profissional,co_ies_1,co_ies_2,co_ies_3,co_municipio_end,co_municipio_nasc,co_pais_origem,co_uf_end,co_uf_nasc
10102,14CC4CF71056E9466E55DC36516586AE,10102,1946,2019,1999,NA,73,0,1,NA,NA,NA,474,0,0,10,NA,4,41,NA,1,NA,NA,1,1,2,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,519,NA,NA,2927408,2927408,76,29,29
10103,14CC4CF71056E9466E55DC36516586AE,10103,1946,2019,1999,NA,73,0,1,NA,NA,NA,474,0,0,10,NA,4,19,NA,1,NA,NA,1,1,2,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,519,NA,NA,2927408,2927408,76,29,29
10104,14CC4CF71056E9466E55DC36516586AE,10104,1946,2019,1999,NA,73,0,1,NA,NA,NA,474,0,0,10,NA,4,19,NA,1,NA,NA,1,1,2,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,519,NA,NA,2927408,2927408,76,29,29
16084,208C0BBF9721EB7E9AD9548A2F224083,16084,1961,2019,NA,NA,58,NA,NA,NA,NA,NA,474,NA,NA,10,2,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2927408,76,NA,29
16085,208C0BBF9721EB7E9AD9548A2F224083,16085,1961,2019,NA,NA,58,NA,NA,NA,NA,NA,474,NA,NA,10,2,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2927408,76,NA,29
16086,208C0BBF9721EB7E9AD9548A2F224083,16086,1961,2019,NA,NA,58,NA,NA,NA,NA,NA,474,NA,NA,10,2,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2927408,76,NA,29
16087,208C0BBF9721EB7E9AD9548A2F224083,16087,1961,2019,NA,NA,58,NA,NA,NA,NA,NA,474,NA,NA,10,2,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2927408,76,NA,29
16088,208C0BBF9721EB7E9AD9548A2F224083,16088,1961,2019,NA,NA,58,NA,NA,NA,NA,NA,474,NA,NA,10,2,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2927408,76,NA,29
16089,208C0BBF9721EB7E9AD9548A2F224083,16089,1961,2019,NA,NA,58,NA,NA,NA,NA,NA,474,NA,NA,10,2,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2927408,76,NA,29
17685,23C36C4F88B96D4975A7760E4D9FACD4,17685,1980,2019,2004,NA,39,0,1,NA,NA,NA,474,0,0,12,NA,4,20,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F18,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
17686,23C36C4F88B96D4975A7760E4D9FACD4,17686,1980,2019,2004,NA,39,0,1,NA,NA,NA,474,0,0,12,NA,4,20,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F18,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
17687,23C36C4F88B96D4975A7760E4D9FACD4,17687,1980,2019,2004,NA,39,0,1,NA,NA,NA,474,0,0,12,NA,4,25,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,145F18,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
17688,23C36C4F88B96D4975A7760E4D9FACD4,17688,1980,2019,2004,NA,39,0,1,NA,NA,NA,474,0,0,12,NA,4,41,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F18,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
17689,23C36C4F88B96D4975A7760E4D9FACD4,17689,1980,2019,2004,NA,39,0,1,NA,NA,NA,474,0,0,12,NA,4,19,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F18,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
17690,23C36C4F88B96D4975A7760E4D9FACD4,17690,1980,2019,2004,NA,39,0,1,NA,NA,NA,474,0,0,12,NA,4,19,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F18,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
17975,2430F6B23E1E60CB81270A31461621EC,17975,1959,2019,1998,NA,60,0,1,NA,NA,NA,474,0,1,5,NA,4,25,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
17976,2430F6B23E1E60CB81270A31461621EC,17976,1959,2019,1998,NA,60,0,1,NA,NA,NA,474,0,1,5,NA,4,41,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,1,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
17977,2430F6B23E1E60CB81270A31461621EC,17977,1959,2019,1998,NA,60,0,1,NA,NA,NA,474,0,1,5,NA,4,21,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,1,0,0,NA,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
17978,2430F6B23E1E60CB81270A31461621EC,17978,1959,2019,1998,NA,60,0,1,NA,NA,NA,474,0,1,5,NA,4,21,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,1,0,0,NA,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
21279,2AE596BA776F5CF95974815AB9A650BD,21279,1964,2019,1990,NA,55,0,1,NA,NA,NA,474,0,1,7,NA,4,27,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,145F01,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
21280,2AE596BA776F5CF95974815AB9A650BD,21280,1964,2019,1990,NA,55,0,1,NA,NA,NA,474,0,1,7,NA,4,26,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,145F01,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
21281,2AE596BA776F5CF95974815AB9A650BD,21281,1964,2019,1990,NA,55,0,1,NA,NA,NA,474,0,1,7,NA,4,25,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,145F01,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
21282,2AE596BA776F5CF95974815AB9A650BD,21282,1964,2019,1990,NA,55,0,1,NA,NA,NA,474,0,1,7,NA,4,41,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F01,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
